C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2026/05/21,04:40:00,0000000518641070,,0000000518641068
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 08:00:00",1334,0,0,"2026/05/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 08:30:00",1316,0,0,"2026/05/20 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 09:00:00",1281,0,0,"2026/05/20 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 09:30:00",1225,0,0,"2026/05/20 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 10:00:00",1158,0,0,"2026/05/20 10:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 10:30:00",1110,0,0,"2026/05/20 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 11:00:00",1021,0,0,"2026/05/20 11:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 11:30:00",1032,0,0,"2026/05/20 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 12:00:00",1008,0,0,"2026/05/20 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 12:30:00",1003,0,0,"2026/05/20 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 13:00:00",995,0,0,"2026/05/20 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 13:30:00",990,0,0,"2026/05/20 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 14:00:00",1006,0,0,"2026/05/20 14:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 14:30:00",1027,0,0,"2026/05/20 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 15:00:00",1051,0,0,"2026/05/20 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 15:30:00",1067,0,0,"2026/05/20 15:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 16:00:00",1094,0,0,"2026/05/20 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 16:30:00",1150,0,0,"2026/05/20 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 17:00:00",1218,0,0,"2026/05/20 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 17:30:00",1285,0,0,"2026/05/20 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 18:00:00",1341,0,0,"2026/05/20 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 18:30:00",1352,0,0,"2026/05/20 18:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 19:00:00",1349,0,0,"2026/05/20 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 19:30:00",1347,0,0,"2026/05/20 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 20:00:00",1337,0,0,"2026/05/20 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 20:30:00",1322,0,0,"2026/05/20 20:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 21:00:00",1298,0,0,"2026/05/20 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 21:30:00",1274,0,0,"2026/05/20 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 22:00:00",1243,0,0,"2026/05/20 22:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 22:30:00",1206,0,0,"2026/05/20 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 23:00:00",1175,0,0,"2026/05/20 23:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/20 23:30:00",1142,0,0,"2026/05/20 23:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 00:00:00",1116,0,0,"2026/05/21 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 00:30:00",1105,0,0,"2026/05/21 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 01:00:00",1084,0,0,"2026/05/21 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 01:30:00",1091,0,0,"2026/05/21 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 02:00:00",1091,0,0,"2026/05/21 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 02:30:00",1090,0,0,"2026/05/21 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 03:00:00",1086,0,0,"2026/05/21 03:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 03:30:00",1088,0,0,"2026/05/21 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/05/21 04:00:00",1093,0,0,"2026/05/21 04:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 04:30:00",4726,0,0,"2026/05/20 04:30:01"
